Time,updated rows per sec - 11.1.2.20(master)
2025/5/27 09:48,22.4
2025/5/27 09:48,19.9
2025/5/27 09:48,19.9
2025/5/27 09:48,22.2
2025/5/27 09:49,22.6
2025/5/27 09:49,25.3
2025/5/27 09:49,26.1
2025/5/27 09:49,23.5
2025/5/27 09:50,25.8
2025/5/27 09:50,30.5
2025/5/27 09:50,30.6
2025/5/27 09:50,31.5
2025/5/27 09:51,28.6
2025/5/27 09:51,24.5
2025/5/27 09:51,21.5
2025/5/27 09:51,23.4
2025/5/27 09:52,28.3
2025/5/27 09:52,27.8
2025/5/27 09:52,29.8
2025/5/27 09:52,32.6
2025/5/27 09:53,28.8
2025/5/27 09:53,26.9
2025/5/27 09:53,28.9
2025/5/27 09:53,29.2
2025/5/27 09:54,29.1
2025/5/27 09:54,33.3
